learningRate: 0.001
maxMemory: 100000
gamma: 0.99
batchSize: 64
epsilon: 1.0
epsilonDecayRate: 0.995
epsilonMin: 0.01
hidden_nodes: 128
ddqn_enable: True
tau: 0.01
train: True

2025-11-27 20:10:36.772988: epoch: 67 | totalReward = -5.000000000000002 | epsilon = 0.7183288830986236 | pipes passed = 0
2025-11-27 20:10:38.181809: epoch: 68 | totalReward = -6.1999999999999975 | epsilon = 0.7147372386831305 | pipes passed = 0
2025-11-27 20:10:39.882556: epoch: 69 | totalReward = -5.000000000000002 | epsilon = 0.7111635524897149 | pipes passed = 0
2025-11-27 20:10:40.847963: epoch: 70 | totalReward = -7.199999999999999 | epsilon = 0.7076077347272662 | pipes passed = 0
2025-11-27 20:10:42.605935: epoch: 71 | totalReward = -4.8000000000000025 | epsilon = 0.7040696960536299 | pipes passed = 0
2025-11-27 20:10:44.295983: epoch: 72 | totalReward = -5.000000000000002 | epsilon = 0.7005493475733617 | pipes passed = 0
2025-11-27 20:10:45.989057: epoch: 73 | totalReward = -5.000000000000002 | epsilon = 0.697046600835495 | pipes passed = 0
2025-11-27 20:10:47.678490: epoch: 74 | totalReward = -5.000000000000002 | epsilon = 0.6935613678313175 | pipes passed = 0
2025-11-27 20:10:49.370391: epoch: 75 | totalReward = -5.000000000000002 | epsilon = 0.6900935609921609 | pipes passed = 0
2025-11-27 20:10:50.033793: epoch: 76 | totalReward = -8.1 | epsilon = 0.6866430931872001 | pipes passed = 0
2025-11-27 20:10:51.655804: epoch: 77 | totalReward = -5.200000000000001 | epsilon = 0.6832098777212641 | pipes passed = 0
2025-11-27 20:10:53.346280: epoch: 78 | totalReward = -5.000000000000002 | epsilon = 0.6797938283326578 | pipes passed = 0
2025-11-27 20:10:54.773216: epoch: 79 | totalReward = -5.799999999999999 | epsilon = 0.6763948591909945 | pipes passed = 0
2025-11-27 20:10:56.462046: epoch: 80 | totalReward = -5.000000000000002 | epsilon = 0.6730128848950395 | pipes passed = 0
2025-11-27 20:10:58.681202: epoch: 81 | totalReward = 6.5 | epsilon = 0.6696478204705644 | pipes passed = 1
2025-11-27 20:11:00.376704: epoch: 82 | totalReward = -5.000000000000002 | epsilon = 0.6662995813682115 | pipes passed = 0
2025-11-27 20:11:01.973714: epoch: 83 | totalReward = -5.300000000000001 | epsilon = 0.6629680834613705 | pipes passed = 0
2025-11-27 20:11:03.999210: epoch: 84 | totalReward = 5.899999999999995 | epsilon = 0.6596532430440636 | pipes passed = 1
2025-11-27 20:11:05.691114: epoch: 85 | totalReward = -5.000000000000002 | epsilon = 0.6563549768288433 | pipes passed = 0
2025-11-27 20:11:07.450833: epoch: 86 | totalReward = -4.8000000000000025 | epsilon = 0.653073201944699 | pipes passed = 0
2025-11-27 20:11:09.145886: epoch: 87 | totalReward = -5.000000000000002 | epsilon = 0.6498078359349755 | pipes passed = 0
2025-11-27 20:11:09.815516: epoch: 88 | totalReward = -8.1 | epsilon = 0.6465587967553006 | pipes passed = 0
2025-11-27 20:11:11.112348: epoch: 89 | totalReward = -6.1999999999999975 | epsilon = 0.6433260027715241 | pipes passed = 0
2025-11-27 20:11:12.212390: epoch: 90 | totalReward = -6.799999999999999 | epsilon = 0.6401093727576664 | pipes passed = 0
2025-11-27 20:11:13.574844: epoch: 91 | totalReward = -5.999999999999998 | epsilon = 0.6369088258938781 | pipes passed = 0
2025-11-27 20:11:15.270249: epoch: 92 | totalReward = -5.000000000000002 | epsilon = 0.6337242817644086 | pipes passed = 0
2025-11-27 20:11:16.599108: epoch: 93 | totalReward = -6.099999999999998 | epsilon = 0.6305556603555866 | pipes passed = 0
